cust_id,lookalikes
C0001,"[('C0152', 0.989943696507946), ('C0011', 0.9555934651661349), ('C0153', 0.9502660015515244)]"
C0002,"[('C0134', 0.9616340627832672), ('C0199', 0.954341526619283), ('C0027', 0.9510784563362332)]"
C0003,"[('C0032', 0.9812794676201501), ('C0031', 0.9596389452721373), ('C0077', 0.9496100645775337)]"
C0004,"[('C0147', 0.9897160141803857), ('C0113', 0.9781755764831913), ('C0108', 0.9775900824271313)]"
C0005,"[('C0159', 0.9525240342963429), ('C0007', 0.932483740299097), ('C0193', 0.9322056987032876)]"
C0006,"[('C0085', 0.9248539202136862), ('C0137', 0.8692231600191364), ('C0191', 0.8524568407388367)]"
C0007,"[('C0040', 0.975813213743467), ('C0135', 0.9366031124866172), ('C0005', 0.932483740299097)]"
C0008,"[('C0065', 0.951147171252363), ('C0156', 0.9256100780637114), ('C0068', 0.917783105046922)]"
C0009,"[('C0080', 0.9828374826218897), ('C0128', 0.9605484074849142), ('C0140', 0.9495845843151408)]"
C0010,"[('C0060', 0.969923868385267), ('C0121', 0.948125396546389), ('C0180', 0.8985797844908866)]"
C0011,"[('C0107', 0.9837394494124555), ('C0171', 0.9605582842862177), ('C0001', 0.9555934651661349)]"
C0012,"[('C0087', 0.9614338586288207), ('C0126', 0.9374668048801948), ('C0013', 0.9226183265797337)]"
C0013,"[('C0087', 0.9877186838391967), ('C0126', 0.9487113181915952), ('C0024', 0.9301878460325241)]"
C0014,"[('C0063', 0.9877135416871281), ('C0097', 0.9501656711234095), ('C0144', 0.9433183028784627)]"
C0015,"[('C0058', 0.9973786179304038), ('C0185', 0.913056751021394), ('C0020', 0.9030282324610552)]"
C0016,"[('C0187', 0.9128859757800629), ('C0048', 0.7991972640991096), ('C0183', 0.7726168531309213)]"
C0017,"[('C0041', 0.961882461849104), ('C0084', 0.9410042646128733), ('C0075', 0.9340114291724743)]"
C0018,"[('C0055', 0.9749636901378018), ('C0035', 0.9041762038177201), ('C0117', 0.8835731822455706)]"
C0019,"[('C0161', 0.9483328118189005), ('C0179', 0.9368020504078046), ('C0053', 0.9092661371460447)]"
C0020,"[('C0015', 0.9030282324610552), ('C0058', 0.8984151816744902), ('C0167', 0.8707193194229014)]"
